ASSETNUM;NUM_DTO;NUM_BARRIO;CODIGO_ESPECIE;PERIMETRO;NUM_PARQUE;ALTURA_TOTAL;edad_arbol;estado_sanitario;riesgo_caida;necesidad_poda;fecha_ultima_poda;coste_mantenimiento
9943412;17;171;PDU;57.7;0;3;14;SANO;BAJO;0;2025-05-13;26.27
2141025;9;97;POS;57.6;0;18;53;REGULAR;MEDIO;0;2025-11-10;129.1
9681484;16;166;PNI;43.98;16;6;19;SANO;BAJO;0;2025-05-14;42.04
1562829;5;56;PDA;40.6;0;11;35;SANO;BAJO;0;2025-09-26;68.9
10041553;12;121;CBI;39.5;0;5;16;SANO;BAJO;0;2025-01-13;37.45
9706141;18;181;CAU;39.5;27;6;15;SANO;BAJO;0;2025-12-15;48.65
9706739;18;181;CAU;39.5;27;7;24;SANO;BAJO;0;2025-04-11;46.6
10041551;12;121;CBI;38.6;0;5;3;SANO;BAJO;1;2025-03-01;93.33
9945482;17;171;PGR;38.6;0;2;10;SANO;BAJO;0;2025-01-07;52.89
9943409;17;171;PGR;38.5;0;2;3;SANO;BAJO;0;2024-11-30;28.1
9943448;17;171;PGR;38.5;0;2;5;SANO;BAJO;0;2025-04-17;39.77
9706652;18;181;CAU;38.5;27;6;12;SANO;BAJO;1;2024-02-06;95.59
9945048;17;171;PGR;37.8;0;2;14;SANO;BAJO;0;2025-11-28;38.68
9690801;16;166;PNI;37.7;15;4;11;SANO;BAJO;0;2025-06-29;58.41
9945261;17;171;PGR;37.6;0;2;4;SANO;BAJO;0;2025-09-28;35.01
9706896;18;181;CAU;37.5;27;7;30;SANO;BAJO;0;2025-02-27;45.79
9706969;18;181;CAU;37.5;27;6;30;SANO;BAJO;0;2024-11-26;81.08
9950004;17;171;UPU;37.2;0;5;15;SANO;BAJO;0;2025-09-11;50.41
9705951;18;181;CAU;36.5;27;6;17;SANO;BAJO;0;2025-04-13;51.91
9705574;18;181;CAU;35.5;27;6;23;SANO;BAJO;0;2025-08-03;62.44
9705577;18;181;CAU;35.5;27;6;20;SANO;BAJO;0;2025-01-22;82.01
9705377;18;181;CAU;35.5;27;5;15;SANO;BAJO;0;2025-02-18;18.97
10041559;12;121;PTO;34.6;0;7;15;SANO;BAJO;1;2023-07-31;107.83
9705375;18;181;CAU;34.5;27;5;15;SANO;BAJO;0;2025-11-07;51.88
9706583;18;181;CAU;34.5;27;6;16;SANO;BAJO;0;2025-09-24;55.25
1622429;5;53;SJA;34.5;0;5;17;SANO;BAJO;0;2025-06-13;61.92
10041558;12;121;PTO;33.5;0;6;12;SANO;BAJO;0;2025-10-19;43.12
9705693;18;181;CAU;33.5;27;7;23;REGULAR;BAJO;1;2023-08-29;136.91
9705561;18;181;CAU;32.5;27;6;14;SANO;BAJO;1;2023-05-25;108.85
9705389;18;181;CAU;32.5;27;5;10;SANO;BAJO;0;2025-05-14;37.17
9706713;18;181;ERJ;32.5;27;3;13;SANO;BAJO;0;2025-07-21;51.29
9681463;16;166;PNI;31.41;16;6;14;SANO;BAJO;0;2025-08-08;63.75
9681455;16;166;PNI;31.41;16;6;23;SANO;BAJO;1;2024-12-31;120.48
9705510;18;181;CAU;30.5;27;6;14;SANO;BAJO;0;2025-05-27;46.18
9705891;18;181;ACA;30.5;27;7;29;SANO;BAJO;0;2024-12-24;81.92
9706993;18;181;ACA;30.5;27;7;25;SANO;BAJO;1;2022-03-25;97.93
9707053;18;181;MSY;30.5;27;4;19;SANO;BAJO;0;2024-12-20;25.97
2018427;13;131;FAN;30.5;0;4;19;SANO;BAJO;0;2025-09-01;30.18
9705395;18;181;CAU;29.5;27;5;16;SANO;BAJO;0;2025-01-21;57.5
9706887;18;181;CAU;29.5;27;5;21;SANO;BAJO;0;2025-10-29;47.04
9706726;18;181;CAU;29.5;27;6;16;SANO;BAJO;0;2025-04-25;75.55
9706196;18;181;ACA;28.5;27;7;24;SANO;BAJO;1;2025-04-15;143.03
9706899;18;181;RPS;28.5;27;6;24;SANO;BAJO;1;2022-06-25;76.86
9706938;18;181;RPS;28.5;27;5;12;SANO;BAJO;0;2025-08-11;51.78
9706827;18;181;FAN;27.5;27;8;19;SANO;BAJO;1;2024-06-12;77.49
9706589;18;181;MEA;27.5;27;4;12;SANO;BAJO;1;2022-08-26;73.36
9706935;18;181;ACA;27.5;27;6;24;SANO;BAJO;0;2025-04-20;72.04
9705899;18;181;MNI;26.5;27;4;19;SANO;BAJO;0;2025-09-14;50.84
9706567;18;181;MEA;26.5;27;4;19;SANO;BAJO;0;2025-01-15;44.34
10041556;12;121;PTO;26.1;0;6;20;SANO;BAJO;0;2025-06-27;65.29
5034064;17;171;CBE;25.5;0;5;22;SANO;BAJO;0;2025-03-21;39.47
5034056;17;174;CBE;25.5;0;5;13;SANO;BAJO;0;2025-05-10;27.43
9705793;18;181;ACA;25.5;27;7;28;SANO;BAJO;1;2022-09-30;115.6
5131027;13;136;PTO;25.5;0;4;7;SANO;BAJO;0;2025-09-30;48.21
9706525;18;181;MEA;25.5;27;4;17;SANO;BAJO;0;2025-03-13;52.2
9706528;18;181;CAU;25.5;27;4;14;SANO;BAJO;0;2025-07-28;51.51
9706886;18;181;FCA;25.5;27;2;9;SANO;BAJO;0;2025-07-24;46.8
9706588;18;181;EAN;25.5;27;5;13;SANO;BAJO;1;2021-12-23;92.11
9706577;18;181;MEA;25.5;27;6;16;SANO;BAJO;1;2025-03-03;84.41
9681492;16;166;ACA;25.13;16;4;12;SANO;BAJO;1;2024-07-29;96.2
5034067;17;171;PAL;24.5;0;5;15;SANO;BAJO;0;2025-10-11;47.11
5034148;17;171;CBE;24.5;0;5;15;SANO;BAJO;0;2025-08-17;86.06
9705950;18;181;ACA;24.5;27;7;29;SANO;BAJO;0;2025-08-16;56.95
9705743;18;181;MEA;24.5;27;4;11;SANO;BAJO;0;2025-10-06;39.88
10048901;17;171;MEA;24.5;0;5;24;SANO;BAJO;0;2025-07-12;67.3
9706382;18;181;MAL;24.5;27;6;13;SANO;BAJO;0;2025-08-17;43.86
10048881;17;171;LST;24.5;0;5;21;SANO;BAJO;0;2025-10-09;65.01
10048882;17;171;MEA;24.5;0;5;13;SANO;BAJO;0;2025-05-06;52.29
10048893;17;174;MEA;24.5;0;5;17;SANO;BAJO;0;2025-10-06;57.2
9706586;18;181;MEA;24.5;27;4;8;SANO;BAJO;0;2025-05-29;38.15
9706668;18;181;FCA;24.5;27;2;5;SANO;BAJO;0;2025-05-22;14.84
9706673;18;181;ACA;24.5;27;7;27;SANO;BAJO;0;2025-06-24;47.78
9706229;18;181;ACA;23.5;27;5;15;SANO;BAJO;0;2025-03-21;32.81
9705989;18;181;EAN;23.5;27;4;11;SANO;BAJO;0;2025-08-18;26.62
9706879;18;181;MNI;23.5;27;4;10;SANO;BAJO;0;2024-11-25;18.98
9706478;18;181;MEA;23.5;27;5;18;SANO;BAJO;0;2025-11-07;35.61
9706492;18;181;MEA;23.5;27;4;17;SANO;BAJO;0;2025-04-21;63.82
9706510;18;181;ACA;23.5;27;6;15;SANO;BAJO;0;2025-01-28;39.1
9706866;18;181;FAN;23.5;27;8;30;SANO;BAJO;0;2025-08-18;50.17
9707284;18;181;FAN;23.5;27;8;19;SANO;BAJO;1;2022-01-16;135.09
10038169;12;123;LST;22.5;0;0;4;SANO;BAJO;0;2025-10-31;10.0
10038187;12;123;LST;22.5;0;0;1;SANO;BAJO;0;2024-12-21;36.82
9706433;18;181;BRP;22.5;27;5;15;SANO;BAJO;0;2025-12-17;31.2
5031556;11;116;PCY;22.5;0;4;14;SANO;BAJO;0;2024-12-10;31.02
5724094;9;91;MEA;21.5;2;4;13;SANO;BAJO;0;2025-05-25;63.51
9705931;18;181;GTR;21.5;27;6;25;SANO;BAJO;1;2022-02-01;93.55
9706300;18;181;MEA;21.5;27;4;16;SANO;BAJO;0;2025-08-26;17.01
9706006;18;181;FOR;21.5;27;4;12;SANO;BAJO;0;2025-03-21;40.1
9706630;18;181;FAN;21.5;27;5;25;SANO;BAJO;0;2025-09-16;40.96
9706152;18;181;SJA;21.5;27;6;15;SANO;BAJO;0;2024-11-15;22.18
9706379;18;181;MAL;21.5;27;6;13;SANO;BAJO;0;2025-10-16;19.58
9706402;18;181;ACA;21.5;27;6;15;SANO;BAJO;0;2025-11-30;48.25
9707308;18;181;ACA;21.5;27;5;16;SANO;BAJO;0;2025-08-30;52.38
9942830;17;171;CSI;20.7;0;4;7;SANO;BAJO;0;2025-02-21;26.29
9943447;17;171;CSE;20.6;0;2;13;SANO;BAJO;0;2025-06-17;47.05
9705799;18;181;GTR;20.6;27;6;13;SANO;BAJO;0;2025-11-09;56.99
5033929;17;174;CBE;20.5;0;4;14;SANO;BAJO;0;2025-10-14;78.51
5033931;17;174;CBE;20.5;0;4;10;SANO;BAJO;0;2025-11-23;73.61
9705606;18;181;FOR;20.5;27;5;9;SANO;BAJO;0;2025-02-25;49.92
9705617;18;181;GTR;20.5;27;6;18;SANO;BAJO;0;2025-01-03;53.89
9706295;18;181;FOR;20.5;27;4;18;SANO;BAJO;0;2025-07-13;40.2
9706307;18;181;MEA;20.5;27;4;13;SANO;BAJO;0;2025-08-01;33.84
9706096;18;181;MEA;20.5;27;5;20;SANO;BAJO;0;2024-11-17;67.32
9706882;18;181;CES;20.5;27;4;8;SANO;BAJO;0;2024-12-14;23.02
9706505;18;181;MEA;20.5;27;4;8;SANO;BAJO;0;2025-11-02;42.53
9706847;18;181;GTR;20.5;27;6;29;SANO;BAJO;1;2024-01-10;106.9
9707302;18;181;MAL;20.5;27;4;17;SANO;BAJO;0;2025-01-04;51.65
9707271;18;181;MAL;20.5;27;4;8;SANO;BAJO;0;2025-08-10;35.93
10035061;11;117;QIL;20.3;0;2;6;SANO;BAJO;0;2025-04-22;21.13
10035095;11;117;QIL;20.3;0;2;10;SANO;BAJO;0;2024-11-27;14.25
10035054;11;117;QIL;20.3;0;2;10;SANO;BAJO;0;2025-10-25;41.12
10035099;11;117;QIL;20.3;0;2;6;SANO;BAJO;0;2025-10-22;56.0
10035098;11;117;QIL;20.3;0;2;13;SANO;BAJO;0;2025-01-28;43.72
10035072;11;117;QIL;20.3;0;2;1;SANO;BAJO;0;2025-08-05;26.41
10041560;12;121;SJA;20.2;0;5;26;SANO;BAJO;0;2024-12-28;40.65
9973965;16;166;QCO;2.3;16;2;7;SANO;BAJO;0;2025-01-31;40.46
9705957;18;181;GTR;19.5;27;7;17;SANO;BAJO;0;2024-12-22;33.25
9705570;18;181;GTR;19.5;27;6;23;SANO;BAJO;0;2025-03-07;65.79
9706167;18;181;ACA;19.5;27;6;20;SANO;BAJO;0;2025-12-03;41.91
9706168;18;181;FOR;19.5;27;4;18;SANO;BAJO;0;2025-05-29;14.65
9706454;18;181;MEA;19.5;27;5;20;SANO;BAJO;0;2025-09-20;71.68
9705851;18;181;GTR;19.5;27;6;20;SANO;BAJO;0;2025-01-10;43.22
9706593;18;181;FOR;19.5;27;5;15;SANO;BAJO;0;2025-02-12;57.16
9706694;18;181;MAL;19.5;27;4;12;SANO;BAJO;0;2025-06-20;39.25
9706973;18;181;CES;19.5;27;3;20;SANO;BAJO;0;2025-01-15;50.77
10034425;12;123;UPU;183.5;0;12;48;MALO;ALTO;0;2024-12-30;218.47
9681545;16;166;TIP;18.8;16;4;14;SANO;BAJO;0;2025-03-09;43.15
9681539;16;166;TIP;18.8;16;4;11;SANO;BAJO;0;2025-09-01;49.15
9950003;17;171;UPU;18.7;0;4;12;SANO;BAJO;0;2025-11-13;10.0
9707378;18;181;CSI;18.52;27;4;12;SANO;BAJO;0;2025-01-03;45.7
9942838;17;171;CSI;18.5;0;5;22;SANO;BAJO;0;2025-06-22;30.01
9707011;18;181;MEA;18.5;27;4;12;SANO;BAJO;0;2025-01-01;39.66
9706745;18;181;MEA;18.5;27;4;20;SANO;BAJO;0;2025-10-01;46.23
10041546;12;121;PTO;17.8;0;5;18;SANO;BAJO;0;2025-04-21;25.9
9706316;18;181;MAL;17.5;27;5;14;SANO;BAJO;0;2025-08-01;21.2
9706346;18;181;GTR;17.5;27;5;23;SANO;BAJO;1;2024-10-28;105.52
9706005;18;181;EAN;17.5;27;4;9;SANO;BAJO;0;2025-03-06;63.94
9706549;18;181;MAL;17.5;27;4;21;SANO;BAJO;0;2025-06-20;40.37
9706692;18;181;MAL;17.5;27;4;11;SANO;BAJO;0;2025-09-07;43.2
9942824;17;171;CSI;16.8;0;4;8;SANO;BAJO;0;2025-02-14;30.54
9942805;17;171;PYSP;16.6;0;5;19;SANO;BAJO;1;2022-02-13;97.97
9706140;18;181;GTR;16.5;27;5;11;SANO;BAJO;0;2025-06-19;68.26
9706524;18;181;GTR;16.5;27;4;10;SANO;BAJO;0;2025-07-19;66.15
9945245;17;171;PYSP;16.5;0;4;10;SANO;BAJO;0;2024-12-01;26.38
9706672;18;181;KPA;16.5;27;4;12;SANO;BAJO;0;2025-05-24;22.15
9942845;17;171;POZ;16.3;0;3;11;SANO;BAJO;0;2025-10-12;17.76
9942876;17;171;CSI;16.3;0;4;12;SANO;BAJO;0;2025-03-01;17.26
9681485;16;166;ACA;15.7;16;5;10;SANO;BAJO;0;2025-02-08;49.84
9681473;16;166;PNI;15.7;16;4;20;SANO;BAJO;0;2025-09-27;54.18
9681475;16;166;MPEE;15.7;16;3;8;SANO;BAJO;0;2025-07-01;44.76
9681497;16;166;ACA;15.7;16;4;12;SANO;BAJO;0;2025-11-01;36.63
9681508;16;166;ACA;15.7;16;5;20;SANO;BAJO;0;2025-11-06;46.7
9681531;16;166;MPEE;15.7;16;3;13;SANO;BAJO;0;2024-12-08;10.0
9681536;16;166;MPEE;15.7;16;3;5;SANO;BAJO;0;2025-07-01;32.77
5706872;9;91;MEA;15.5;2;5;13;SANO;BAJO;0;2025-01-08;25.41
5706853;9;91;MEA;15.5;2;5;15;SANO;BAJO;0;2025-09-03;74.58
9942850;17;171;POZ;15.5;0;3;5;SANO;BAJO;0;2025-07-27;52.04
9706053;18;181;EAN;15.5;27;4;19;SANO;BAJO;1;2022-03-10;99.34
9942779;17;171;POZ;15.4;0;3;4;SANO;BAJO;1;2024-10-19;43.76
9942827;17;171;LIN;15.1;0;3;11;SANO;BAJO;0;2025-02-19;61.73
9942821;17;171;POZ;15.1;0;3;10;SANO;BAJO;1;2021-12-05;70.14
1561207;3;34;PDA;148.5;0;14;42;REGULAR;MEDIO;0;2025-02-22;134.39
1997149;10;105;CDE;143.5;0;12;42;REGULAR;MEDIO;1;2024-09-22;179.18
1640240;5;53;UPU;140.88;0;13;42;MALO;ALTO;1;2022-01-16;267.73
9942790;17;171;POZ;14.9;0;3;6;SANO;BAJO;0;2025-12-10;55.13
10041540;12;121;CAU;14.9;0;3;15;SANO;BAJO;0;2025-12-01;20.24
9942863;17;171;POZ;14.9;0;3;14;SANO;BAJO;0;2025-05-23;49.54
9942788;17;171;POZ;14.8;0;3;10;SANO;BAJO;0;2025-04-24;53.28
9942798;17;171;POZ;14.8;0;3;12;SANO;BAJO;1;2023-05-29;73.82
10041548;12;121;PTO;14.7;0;5;12;SANO;BAJO;0;2024-12-13;39.32
9975805;16;166;PHA;14.5;16;2;13;SANO;BAJO;0;2025-07-30;31.29
9705695;18;181;CAU;14.5;27;3;7;SANO;BAJO;0;2025-06-01;26.56
9706336;18;181;FAN;14.5;27;3;9;SANO;BAJO;0;2025-08-10;61.57
9706488;18;181;KPA;14.5;27;3;10;SANO;BAJO;0;2025-10-15;33.86
9945149;17;171;HSY;14.4;0;3;14;SANO;BAJO;0;2025-09-06;27.45
9942872;17;171;POZ;14.2;0;4;17;SANO;BAJO;0;2025-03-17;26.59
9945259;17;171;QSU;13.8;0;3;13;SANO;BAJO;0;2025-02-28;28.66
9942810;17;171;LIN;13.6;0;3;12;SANO;BAJO;0;2025-03-01;35.24
9942797;17;171;HSY;13.6;0;3;13;SANO;BAJO;0;2025-09-25;29.02
9705866;18;181;CAU;13.5;27;5;19;SANO;BAJO;0;2025-11-10;43.39
9707329;18;181;FAN;13.5;27;4;19;SANO;BAJO;0;2025-08-27;42.64
9942766;17;171;LIN;13.4;0;3;8;SANO;BAJO;0;2025-11-09;10.0
9942806;17;171;LIN;13.4;0;3;14;SANO;BAJO;0;2025-11-10;76.71
9942815;17;171;LIN;13.4;0;3;13;SANO;BAJO;0;2024-12-07;54.86
9942853;17;171;POZ;13.4;0;4;17;SANO;BAJO;0;2024-11-22;53.19
9943455;17;171;CSE;13.4;0;3;3;SANO;BAJO;0;2025-08-17;28.83
9945151;17;171;POZ;13.4;0;3;1;SANO;BAJO;0;2025-01-29;36.16
9945049;17;171;QSU;13.3;0;4;15;SANO;BAJO;0;2024-11-21;51.2
10041600;12;121;LST;13.2;0;3;11;SANO;BAJO;0;2025-11-22;32.47
9942789;17;171;HSY;13.2;0;3;8;SANO;BAJO;0;2025-04-27;32.69
10035087;11;117;FCA;13.1;0;2;7;SANO;BAJO;0;2025-05-20;37.75
10035081;11;117;FCA;13.1;0;2;6;SANO;BAJO;0;2025-12-14;40.31
9942875;17;171;LIN;13.1;0;3;7;SANO;BAJO;0;2025-09-17;50.48
9942809;17;171;LIN;12.9;0;3;20;SANO;BAJO;1;2024-06-08;54.8
9942799;17;171;HSY;12.8;0;3;11;SANO;BAJO;0;2025-09-17;17.64
9942819;17;171;LIN;12.8;0;3;9;SANO;BAJO;0;2024-11-24;42.21
9942826;17;171;LIN;12.6;0;3;7;SANO;BAJO;0;2025-06-09;24.97
9681477;16;166;ACA;12.56;16;4;6;SANO;BAJO;0;2025-04-23;32.11
9681470;16;166;ACA;12.56;16;4;21;SANO;BAJO;1;2024-05-09;101.05
9706878;18;181;FAN;12.5;27;4;12;SANO;BAJO;0;2025-11-02;34.09
9706551;18;181;FAN;12.5;27;4;14;SANO;BAJO;0;2025-11-05;46.64
10035069;11;117;CAV;12.2;0;1;4;SANO;BAJO;0;2024-11-16;51.51
10035103;11;117;CAV;12.2;0;1;3;SANO;BAJO;0;2025-06-25;35.43
10035065;11;117;CAV;12.2;0;1;2;SANO;BAJO;1;2023-07-11;81.4
9942780;17;171;HSY;12.2;0;3;16;SANO;BAJO;1;2022-12-25;82.11
10041598;12;121;LST;12.1;0;3;10;SANO;BAJO;1;2022-04-17;105.3
9706545;18;181;FAN;11.5;27;4;15;SANO;BAJO;0;2025-09-19;36.42
9706700;18;181;FAN;11.5;27;4;16;SANO;BAJO;0;2025-06-07;46.94
10035079;11;117;PDU;11.4;0;2;10;SANO;BAJO;1;2022-06-27;83.01
9942847;17;171;HSY;11.4;0;3;13;SANO;BAJO;0;2025-04-20;42.11
9706444;18;181;FAN;10.5;27;5;17;SANO;BAJO;0;2025-01-19;31.27
9942857;17;171;HSY;10.4;0;3;3;SANO;BAJO;0;2025-06-17;37.04
5656444;1;11;PPI;1.7;6;9;27;SANO;BAJO;0;2025-08-19;33.34
5656525;1;11;TOC;1.68;6;5;19;SANO;BAJO;0;2024-12-24;53.81
5656563;1;11;PPI;1.54;6;11;28;SANO;BAJO;0;2025-05-27;90.24
5655939;1;11;PPI;1.54;6;10;27;SANO;BAJO;0;2025-04-05;62.88
5656319;1;11;UMI;1.47;6;12;40;REGULAR;MEDIO;1;2022-02-17;162.29
5655892;1;11;PPI;1.46;6;11;30;SANO;BAJO;0;2025-03-20;67.84
5655129;1;11;PDA;1.39;7;19;52;MALO;ALTO;1;2023-11-05;233.92
5655893;1;11;PPI;1.37;6;10;27;REGULAR;MEDIO;0;2025-10-05;70.76
5655687;1;11;PDA;1.33;7;11;29;SANO;BAJO;0;2024-12-12;59.53
5656593;1;11;PPI;1.25;6;11;26;SANO;BAJO;1;2024-02-21;113.82
9683337;16;166;MSY;1.2;16;4;9;SANO;BAJO;0;2024-12-29;31.97
5656575;1;11;PPI;1.18;6;9;17;SANO;BAJO;0;2025-03-18;52.38
5655936;1;11;PPI;1.12;6;10;25;SANO;BAJO;0;2025-06-26;90.09
5656595;1;11;PPI;1.06;6;8;24;SANO;BAJO;0;2025-05-24;51.84
5655928;1;11;PPI;1.05;6;9;31;SANO;BAJO;0;2024-12-16;67.07
5655423;1;11;CUM;0.65;7;3;5;SANO;BAJO;0;2025-11-24;54.01
5672051;21;211;GTR;0.62;5;14;39;SANO;BAJO;1;2023-08-06;128.67
5660893;21;211;GTR;0.6;5;14;37;SANO;BAJO;1;2025-02-08;121.23
5251876;16;162;MAL;0.51;11;5;9;SANO;BAJO;1;2023-07-24;61.03
5656522;1;11;TOC;0.43;6;5;13;SANO;BAJO;1;2025-03-10;109.26
5672979;21;211;FAN;0.35;5;3;9;SANO;BAJO;0;2025-12-02;10.0
5251878;16;162;MAL;0.28;11;5;14;SANO;BAJO;0;2025-04-22;41.12
5672853;21;211;ACA;0.27;5;7;18;SANO;BAJO;1;2023-08-30;69.64
5672851;21;211;SNI;0.26;5;4;11;SANO;BAJO;0;2025-08-16;25.93
5672902;21;211;ACA;0.22;5;7;17;SANO;BAJO;0;2025-03-21;51.24
9734388;9;92;FOD;0.19;26;6;14;SANO;BAJO;0;2024-11-25;53.83
5672900;21;211;ACA;0.19;5;8;22;SANO;BAJO;0;2025-06-08;74.42
8968290;21;215;MEA;0.16;12;4;8;SANO;BAJO;0;2025-05-16;57.81
8968289;21;215;MEA;0.16;12;4;11;SANO;BAJO;1;2022-11-21;83.17
8968299;21;215;MEA;0.16;12;4;9;SANO;BAJO;0;2025-11-02;59.34
8968301;21;215;MEA;0.16;12;4;17;SANO;BAJO;0;2025-01-28;53.6
8968303;21;215;MEA;0.16;12;4;15;SANO;BAJO;0;2024-12-19;33.4
8968316;21;215;MEA;0.16;12;4;18;SANO;BAJO;0;2024-11-30;43.3
5661973;21;211;CSI;0.15;5;7;12;SANO;BAJO;1;2023-09-13;78.04
5672904;21;211;PCR;0.15;5;3;12;SANO;BAJO;0;2025-11-26;27.0
10034008;16;166;LIN;0.11;15;2;2;SANO;BAJO;1;;86.39
5672856;21;211;ACA;0.11;5;6;12;SANO;BAJO;0;2025-03-23;33.33
5267794;16;166;AHI;4800;15;5;150;SECO;ALTO;0;2019-11-24;359.19
1752483;10;104;PDA;1118;0;22;107;SECO;ALTO;0;2022-12-16;353.43
5267149;16;166;LIN;800;15;4;53;SECO;ALTO;0;2019-11-19;317.37
9850556;3;35;TMU;600;1;22;84;SECO;ALTO;0;2019-08-18;361.52
5268426;16;166;AMO;600;16;2;20;MALO;ALTO;0;2025-01-27;245.16
2148779;9;91;PDA;540;0;20;76;SECO;ALTO;1;2019-12-22;411.29
5613063;4;43;ECA;530;4;22;88;SECO;ALTO;0;2021-03-08;365.91
9857085;3;35;EGL;470;1;17;70;SECO;ALTO;1;2020-02-12;406.34
9852615;3;35;PHA;469;1;22;81;SECO;ALTO;0;2019-03-28;358.87
2145819;9;97;POC;454;0;22;84;SECO;ALTO;0;2021-12-31;366.65
9856461;3;35;SSE;447;1;24;82;SECO;ALTO;1;2023-02-25;413.95
5614968;4;43;CLU;425;4;15;60;SECO;ALTO;1;2019-06-28;350.05
9846610;3;35;PDA;421;1;26;93;SECO;ALTO;0;2020-09-21;376.2
2172478;9;94;UPU;400;0;15;58;SECO;ALTO;1;2019-05-21;362.22
9847762;3;35;PHA;396;1;22;83;SECO;ALTO;0;2023-04-10;373.4
9852429;3;35;PPI;389;1;22;74;SECO;ALTO;1;2021-05-26;389.08
9857073;3;35;ECA;388;1;22;72;SECO;ALTO;0;2022-09-09;337.58
1579096;21;211;GTR;380;0;13;58;SECO;ALTO;1;2021-01-17;361.03
9859163;3;35;PDA;380;1;26;83;SECO;ALTO;0;2021-05-24;344.04
9857896;3;35;CAT;380;1;26;82;SECO;ALTO;0;2023-05-29;368.67
9856580;3;35;EGL;376;1;25;86;SECO;ALTO;1;2021-12-16;426.52
9847526;3;35;CDE;370;1;30;89;SECO;ALTO;0;2021-01-04;400.02
9846274;3;35;PDA;370;1;23;82;SECO;ALTO;1;2022-12-17;383.64
9857833;3;35;LJA;370;1;13;51;SECO;ALTO;1;2019-05-23;347.13
1998421;10;103;PHA;370;0;12;42;SECO;ALTO;1;2023-01-05;332.71
9852623;3;35;PHA;368;1;18;65;SECO;ALTO;1;2019-05-22;375.38
9858215;3;35;CDE;360;1;25;73;SECO;ALTO;0;2020-03-13;332.68
9857668;3;35;PPI;359;1;24;76;SECO;ALTO;1;2023-05-27;403.07
9852453;3;35;PPI;358;1;20;65;SECO;ALTO;1;2020-10-05;363.03
9856786;3;35;SSE;354;1;17;51;SECO;ALTO;1;2019-03-11;387.08
